city,lat,lng,country
Victoria Falls,-17.93,25.84,Zimbabwe
Chitungwiza,-18.00,31.10,Zimbabwe
Maqat,47.65,53.33,Kazakhstan
Zhangaozen,43.30,52.80,Kazakhstan
Taraz,42.90,71.37,Kazakhstan
Shymkent,42.32,69.60,Kazakhstan
Oral,51.27,51.34,Kazakhstan
Balqash,46.85,74.95,Kazakhstan
Zaysan,47.48,84.86,Kazakhstan
Oytal,42.92,73.25,Kazakhstan
Zholymbet,51.75,71.71,Kazakhstan
Serebryansk,49.70,83.42,Kazakhstan
Chapaev,50.19,51.14,Kazakhstan
Ridder,50.36,83.51,Kazakhstan
Zhaltyr,51.63,69.83,Kazakhstan
Atbasar,51.82,68.35,Kazakhstan
Aqsay,51.17,53.03,Kazakhstan
Shemonaikha,50.63,81.91,Kazakhstan
Atasu,48.69,71.65,Kazakhstan
Rudny,52.95,63.13,Kazakhstan
Makhambet,47.67,51.58,Kazakhstan
Fort Shevchenko,44.52,50.27,Kazakhstan
Qusmuryn,52.46,64.60,Kazakhstan
Oktyabrsk,49.47,57.44,Kazakhstan
Khromtau,50.27,58.45,Kazakhstan
Algha,49.90,57.34,Kazakhstan
Embi,48.83,58.14,Kazakhstan
Ushtobe,45.27,77.97,Kazakhstan
Burylbaytal,44.94,74.03,Kazakhstan
Zhanibek,49.43,46.88,Kazakhstan
Esil,51.96,66.38,Kazakhstan
Derzhavinsk,51.10,66.31,Kazakhstan
Saryshaghan,46.12,73.62,Kazakhstan
Turgay,49.63,63.50,Kazakhstan
Sarqan,45.42,79.91,Kazakhstan
Arqalyq,50.24,66.90,Kazakhstan
Shalqar,47.84,59.61,Kazakhstan
Shieli,44.17,66.75,Kazakhstan
Bayghanin,48.69,55.87,Kazakhstan
Zhezqazghan,47.78,67.77,Kazakhstan
Mangyshlak,43.69,51.14,Kazakhstan
Zhosaly,45.49,64.08,Kazakhstan
Beyneu,45.18,55.10,Kazakhstan
Qazaly,45.76,62.11,Kazakhstan
Aral,46.80,61.67,Kazakhstan
Ayakoz,47.96,80.43,Kazakhstan
Urzhar,47.10,81.60,Kazakhstan
Qapshaghay,43.88,77.07,Kazakhstan
Esik,43.37,77.44,Kazakhstan
Turkistan,43.30,68.25,Kazakhstan
Qaratau,43.19,70.46,Kazakhstan
Sharbaqty,52.50,78.15,Kazakhstan
Oostanay,53.22,63.63,Kazakhstan
Kachiry,53.08,76.09,Kazakhstan
Kishkenekol,53.64,72.34,Kazakhstan
Bulaevo,54.91,70.44,Kazakhstan
Shonzhy,43.54,79.47,Kazakhstan
Qyzylorda,44.80,65.47,Kazakhstan
Qaraghandy,49.89,73.12,Kazakhstan
Ertis,53.35,75.45,Kazakhstan
Tayynsha,53.85,69.76,Kazakhstan
Qulan,42.92,72.71,Kazakhstan
Shu,43.60,73.74,Kazakhstan
Kentau,43.52,68.52,Kazakhstan
Oskemen,49.99,82.61,Kazakhstan
Aqtau,43.62,51.24,Kazakhstan
Taldyqorghan,45.00,78.40,Kazakhstan
Astana,51.18,71.43,Kazakhstan
Aqtobe,50.28,57.17,Kazakhstan
Kokshetau,53.30,69.42,Kazakhstan
Petropavlovsk,54.88,69.22,Kazakhstan
Pavlodar,52.30,76.95,Kazakhstan
Otar,43.53,75.21,Kazakhstan
Almaty,43.33,76.92,Kazakhstan
Bestobe,52.50,73.10,Kazakhstan
Arys,42.44,68.80,Kazakhstan
Lenger,42.19,69.88,Kazakhstan
Aqsu,52.45,71.96,Kazakhstan
Temirtau,50.07,72.97,Kazakhstan
Makinsk,52.64,70.41,Kazakhstan
Osakarovka,50.58,72.57,Kazakhstan
Qarqaraly,49.42,75.46,Kazakhstan
Ekibastuz,51.73,75.32,Kazakhstan
Zyryanovsk,49.75,84.25,Kazakhstan
Komsomolets,53.75,62.05,Kazakhstan
Baykonur,45.69,63.24,Kazakhstan
Erymentau,51.63,73.10,Kazakhstan
Qarazhal,48.03,70.80,Kazakhstan
Tobol,52.70,62.57,Kazakhstan
Shar,49.60,81.05,Kazakhstan
Semey,50.44,80.28,Kazakhstan
Boralday,43.33,76.83,Kazakhstan
Zhetiqara,52.19,61.24,Kazakhstan
Aqadyr,48.27,72.86,Kazakhstan
Zharkent,44.16,79.98,Kazakhstan
Qulsary,46.98,54.02,Kazakhstan
Balyqshy,47.07,51.87,Kazakhstan
Atyrau,47.11,51.92,Kazakhstan
Xiangkhoang,19.33,103.37,Laos
Muang Phonsavan,19.45,103.22,Laos
Vientiane,17.97,102.60,Laos
Ban Houayxay,20.28,100.41,Laos
Muang Phon-Hong,18.50,102.41,Laos
Louang Namtha,20.95,101.42,Laos
Phongsali,21.68,102.10,Laos
Thakhek,17.41,104.84,Laos
Muang Pakxan,18.38,103.66,Laos
Louangphrabang,19.88,102.14,Laos
Xaignabouri,19.25,101.75,Laos
Savannakhet,16.54,104.77,Laos
Lamam,15.42,106.69,Laos
Pakxe,15.12,105.82,Laos
Attapu,14.81,106.84,Laos
Xam Nua,20.42,104.03,Laos
Muang Xai,20.69,101.98,Laos
Saravan,15.72,106.43,Laos
Champasak,14.88,105.87,Laos
Beirut,33.87,35.51,Lebanon
Zahle,33.85,35.90,Lebanon
Baalbek,34.01,36.22,Lebanon
B'abda,33.83,35.53,Lebanon
Halba,34.54,36.08,Lebanon
Saida,33.56,35.37,Lebanon
Nabatiye et Tahta,33.38,35.45,Lebanon
Trablous,34.42,35.87,Lebanon
Castries,14.00,-61.00,Saint Lucia
Gamprin,47.22,9.51,Liechtenstein
Triesenberg,47.12,9.54,Liechtenstein
Schaan,47.17,9.51,Liechtenstein
Ruggell,47.24,9.52,Liechtenstein
Mauren,47.22,9.54,Liechtenstein
Eschen,47.21,9.52,Liechtenstein
Triesen,47.11,9.52,Liechtenstein
Balzers,47.07,9.50,Liechtenstein
Vaduz,47.13,9.52,Liechtenstein
Planken,47.18,9.54,Liechtenstein
Schellenberg,47.23,9.55,Liechtenstein
Colombo,6.93,79.86,Sri Lanka
Ratnapura,6.69,80.39,Sri Lanka
Matara,5.95,80.54,Sri Lanka
Sri Jawewardenepura Kotte,6.90,79.95,Sri Lanka
Moratuwa,6.78,79.88,Sri Lanka
Anuradhapura,8.35,80.38,Sri Lanka
Galle,6.03,80.24,Sri Lanka
Puttalan,8.03,79.83,Sri Lanka
Kandy,7.28,80.67,Sri Lanka
Badulla,6.98,81.05,Sri Lanka
Trincomalee,8.57,81.23,Sri Lanka
Kilinochchi,9.40,80.40,Sri Lanka
Batticaloa,7.72,81.70,Sri Lanka
Jaffna,9.68,80.01,Sri Lanka
Bopolu,7.07,-10.49,Liberia
Voinjama,8.42,-9.75,Liberia
Robertsport,6.75,-11.37,Liberia
Buchanan,5.92,-10.05,Liberia
Monrovia,6.31,-10.80,Liberia
Tubmanburg,6.87,-10.82,Liberia
Buchanan,5.88,-10.04,Liberia
Zwedru,6.07,-8.13,Liberia
Barclayville,4.80,-8.17,Liberia
Rivercess,5.47,-9.58,Liberia
Fish Town,5.20,-7.88,Liberia
Gbarnga,7.01,-9.49,Liberia
Kakata,6.53,-10.35,Liberia
Sanniquellie,7.37,-8.69,Liberia
Greenville,5.01,-9.04,Liberia
Bensonville,6.43,-10.60,Liberia
Harper,4.38,-7.72,Liberia
Maseru,-29.32,27.48,Lesotho
Mokhotlong,-29.29,29.08,Lesotho
Thaba-Tseka,-29.52,28.61,Lesotho
Moyeni,-30.41,27.72,Lesotho
Qacha's Nek,-30.12,28.69,Lesotho
Mafetang,-29.82,27.25,Lesotho
Hlotse,-28.88,28.06,Lesotho
Teyateyaneng,-29.15,27.75,Lesotho
Mohales Hoek,-30.16,27.48,Lesotho
Butha-Buthe,-28.75,28.25,Lesotho
Klaipeda,55.72,21.12,Lithuania
Palanga,55.92,21.07,Lithuania
Nida,55.31,21.00,Lithuania
Kretinga,55.89,21.24,Lithuania
Taurage,55.25,22.29,Lithuania
Silute,55.35,21.47,Lithuania
Rietavas,55.73,21.92,Lithuania
Plunge,55.91,21.85,Lithuania
Silale,55.49,22.19,Lithuania
Visaginas,55.60,26.44,Lithuania
Zarasai,55.73,26.25,Lithuania
Ignalina,55.34,26.16,Lithuania
Utena,55.50,25.60,Lithuania
Svencionys,55.13,26.16,Lithuania
Rokiskis,55.96,25.59,Lithuania
Moletai,55.22,25.42,Lithuania
Salcininkai,54.31,25.39,Lithuania
Vilnius,54.68,25.32,Lithuania
Kupiskis,55.84,24.98,Lithuania
Trakai,54.64,24.94,Lithuania
Birzai,56.20,24.75,Lithuania
Anyksciai,55.52,25.11,Lithuania
Telsiai,55.98,22.23,Lithuania
Kelme,55.63,22.93,Lithuania
Marijampole,54.56,23.35,Lithuania
Lazdijai,54.23,23.51,Lithuania
Sakiai,54.95,23.05,Lithuania
Radviliskis,55.81,23.54,Lithuania
Siauliai,55.94,23.33,Lithuania
Birstonas,54.60,24.03,Lithuania
Druskininkai,54.02,23.99,Lithuania
Kedainiai,55.29,23.97,Lithuania
Alytus,54.40,24.04,Lithuania
Prienai,54.64,23.95,Lithuania
Elektrenai,54.79,24.66,Lithuania
Kaunas,54.95,23.88,Lithuania
Jonava,55.08,24.28,Lithuania
Kaisiadorys,54.87,24.47,Lithuania
Panevezys,55.74,24.37,Lithuania
Joniskis,56.24,23.62,Lithuania
Kazlu Ruda,54.75,23.50,Lithuania
Vilkaviskis,54.65,23.03,Lithuania
Pasvalys,56.06,24.40,Lithuania
Pakruojis,55.98,23.86,Lithuania
Raseiniai,55.38,23.12,Lithuania
Pagegiai,55.14,21.91,Lithuania
Jurbarkas,55.08,22.76,Lithuania
Kalvarija,54.42,23.23,Lithuania
Sirvintos,55.04,24.95,Lithuania
Skuodas,56.27,21.53,Lithuania
Mazeikiai,56.31,22.33,Lithuania
Akmene,56.25,22.75,Lithuania
Ukmerge,55.25,24.76,Lithuania
Varena,54.22,24.58,Lithuania
Capellen,49.65,5.99,Luxembourg
Esch-sur-Alzette,49.50,5.98,Luxembourg
Remich,49.55,6.37,Luxembourg
Echternach,49.81,6.42,Luxembourg
Mersch,49.75,6.11,Luxembourg
Redange-sur-Attert,49.77,5.89,Luxembourg
Vianden,49.94,6.21,Luxembourg
Wiltz,49.97,5.93,Luxembourg
Clervaux,50.05,6.03,Luxembourg
Diekirch,49.88,6.17,Luxembourg
Grevenmacher,49.70,6.33,Luxembourg
Luxembourg,49.61,6.13,Luxembourg
Skrunda,56.68,22.02,Latvia
Daugavpils,55.88,26.51,Latvia
Jekabpils,56.48,25.85,Latvia
Aglona,56.13,27.02,Latvia
Lielvarde,56.72,24.81,Latvia
Saldus,56.67,22.50,Latvia
Ozolnieki,56.69,23.79,Latvia
Broceni,56.70,22.53,Latvia
Jelgava,56.65,23.71,Latvia
Pilsrundale,56.42,24.00,Latvia
Dobele,56.63,23.28,Latvia
Iecava,56.60,24.20,Latvia
Jaunpils,56.73,23.01,Latvia
Auce,56.47,22.88,Latvia
Tukums,56.97,23.16,Latvia
Tervete,56.48,23.39,Latvia
Salacgriva,57.75,24.36,Latvia
Ventspils,57.39,21.56,Latvia
Dundaga,57.51,22.35,Latvia
Jaunjelgava,56.61,25.08,Latvia
Nereta,56.20,25.31,Latvia
Alsunga,56.98,21.56,Latvia
Kuldiga,56.97,21.97,Latvia
Pavilosta,56.89,21.18,Latvia
Pinki,56.94,23.91,Latvia
Adazi,57.07,24.34,Latvia
Kandava,57.04,22.77,Latvia
Roja,57.50,22.81,Latvia
Carnikava,57.13,24.28,Latvia
Garkalne,57.04,24.42,Latvia
Saulkrasti,57.26,24.42,Latvia
Smarde,56.95,23.34,Latvia
Mersrags,57.34,23.12,Latvia
Talsi,57.25,22.59,Latvia
Jurmala,56.96,23.72,Latvia
Marupe,56.90,24.05,Latvia
Ulbroka,56.94,24.30,Latvia
Zilupe,56.39,28.12,Latvia
Ludza,56.54,27.72,Latvia
Dagda,56.10,27.53,Latvia
Baltinava,56.94,27.64,Latvia
Cibla,56.55,27.88,Latvia
Karsava,56.79,27.67,Latvia
Riga,56.95,24.10,Latvia
Kraslava,55.90,27.17,Latvia
Limbazi,57.51,24.72,Latvia
Preili,56.29,26.72,Latvia
Vecvarkava,56.20,26.51,Latvia
Ilukste,55.98,26.30,Latvia
Nica,56.35,21.06,Latvia
Bauska,56.41,24.19,Latvia
Vilaka,57.18,27.67,Latvia
Livani,56.36,26.18,Latvia
Aluksne,57.42,27.05,Latvia
Rezekne,56.50,27.32,Latvia
Rugaji,57.00,27.13,Latvia
Riebini,56.34,26.80,Latvia
Vilani,56.55,26.93,Latvia
Varaklani,56.61,26.75,Latvia
Ape,57.54,26.69,Latvia
Madona,56.85,26.22,Latvia
Jaunpiebalga,57.18,26.03,Latvia
Lubana,56.90,26.72,Latvia
Gulbene,57.17,26.75,Latvia
Balvi,57.13,27.27,Latvia
Akniste,56.16,25.75,Latvia
Viesite,56.35,25.56,Latvia
Cesvaine,56.97,26.31,Latvia
Kegums,56.75,24.73,Latvia
Vecpiebalga,57.06,25.82,Latvia
Smiltene,57.42,25.90,Latvia
Drabesi,57.24,25.28,Latvia
Cesis,57.31,25.28,Latvia
Ergli,56.90,25.64,Latvia
Valka,57.78,26.01,Latvia
Grobina,56.54,21.17,Latvia
Strenci,57.63,25.69,Latvia
Murmuiza,57.47,25.49,Latvia
Mazsalaca,57.86,25.05,Latvia
Aloja,57.77,24.88,Latvia
Burtnieki,57.69,25.28,Latvia
Koknese,56.65,25.44,Latvia
Aizkraukle,56.60,25.26,Latvia
Skriveri,56.65,25.12,Latvia
Baldone,56.74,24.40,Latvia
Vecumnieki,56.61,24.52,Latvia
Sala,56.50,25.76,Latvia
Plavinas,56.62,25.72,Latvia
Liepaga,56.51,21.01,Latvia
Rujiena,57.90,25.33,Latvia
Naukseni,57.88,25.46,Latvia
Liegi,56.58,21.33,Latvia
Rauna,57.33,25.61,Latvia
Aizpute,56.72,21.60,Latvia
Koceni,57.52,25.34,Latvia
Valmiera,57.54,25.43,Latvia
Sigulda,57.15,24.86,Latvia
Priekuli,57.31,25.36,Latvia
Ogre,56.81,24.61,Latvia
Ragana,57.18,24.71,Latvia
Loja,57.15,24.64,Latvia
Ropazi,56.97,24.63,Latvia
Priekule,56.45,21.59,Latvia
Rucava,56.16,21.16,Latvia
Salaspils,56.86,24.35,Latvia
Ikskile,56.83,24.50,Latvia
Incukalns,57.10,24.69,Latvia
Malpils,57.01,24.96,Latvia
Olaine,56.79,23.94,Latvia
Kekava,56.83,24.23,Latvia
Ligatne,57.24,25.04,Latvia
Stalbe,57.37,25.03,Latvia
Vainode,56.42,21.85,Latvia
Tripoli,32.89,13.18,Libya
Gharyan,32.17,13.02,Libya
Surt,31.21,16.59,Libya
Marzuq,25.90,13.90,Libya
Sabha,27.03,14.43,Libya
Misratah,32.38,15.10,Libya
Al `Aziziyah,32.53,13.02,Libya
Zuwarah,32.93,12.08,Libya
Nalut,31.88,10.97,Libya
Hun,29.12,15.93,Libya
Darnah,32.76,22.64,Libya
Al Bayda,32.76,21.62,Libya
Az Zawiyah,32.76,12.72,Libya
Tajarhi,24.37,14.47,Libya
Al Jaghbub,29.75,24.52,Libya
Awjilah,29.11,21.29,Libya
Al Khums,32.66,14.26,Libya
Ajdabiya,30.77,20.22,Libya
Al Kufrah,24.17,23.27,Libya
Al Jawf,24.20,23.29,Libya
As Sidr,30.67,18.27,Libya
Umm al Abid,27.52,15.03,Libya
Banghazi,32.12,20.07,Libya
Dirj,30.17,10.46,Libya
Mizdah,31.43,12.98,Libya
Ghadamis,30.13,9.50,Libya
Qaminis,31.66,20.02,Libya
Awbari,26.59,12.78,Libya
Ghat,24.96,10.17,Libya
Bani Walid,31.77,13.99,Libya
Zillah,28.55,17.58,Libya
Tmassah,26.37,15.80,Libya
Idri,27.45,13.05,Libya
El Agheila,30.26,19.20,Libya
Birak,27.53,14.28,Libya
Maradah,29.23,19.22,Libya
Shahhat,32.83,21.86,Libya
Al Marj,32.50,20.83,Libya
Tubruq,32.08,23.96,Libya
Kenitra,34.27,-6.58,Morocco
Goulimine,28.98,-10.07,Morocco
Fez,34.05,-5.00,Morocco
Casablanca,33.60,-7.62,Morocco
Agadir,30.44,-9.62,Morocco
Beni Mellal,32.34,-6.35,Morocco
Tangier,35.75,-5.83,Morocco
Settat,33.01,-7.62,Morocco
Oujda,34.69,-1.91,Morocco
Meknes,33.90,-5.56,Morocco
Rabat,34.03,-6.84,Morocco
Marrakesh,31.63,-8.00,Morocco
El Jadida,33.26,-8.51,Morocco
Er Rachidia,31.94,-4.45,Morocco
Tan Tan,28.43,-11.10,Morocco
Taza,34.22,-4.02,Morocco
Larache,35.20,-6.16,Morocco
Ksar El Kebir,35.02,-5.91,Morocco
Safi,32.32,-9.24,Morocco
Tiznit,29.71,-9.74,Morocco
Ouezzane,34.81,-5.57,Morocco
Monaco,43.74,7.41,Monaco
Leova,46.48,28.25,Moldova
Rezina,47.75,28.97,Moldova
Causeni,46.64,29.41,Moldova
Riscani,47.95,27.56,Moldova
Singerei,47.64,28.14,Moldova
Falesti,47.58,27.71,Moldova
Floresti,47.89,28.29,Moldova
Soldanesti,47.82,28.80,Moldova
Stefan Voda,46.51,29.66,Moldova
Orhei,47.38,28.82,Moldova
Comrat,46.29,28.66,Moldova
Cimislia,46.53,28.76,Moldova
Cantemir,46.28,28.20,Moldova
Basarabeasca,46.33,28.96,Moldova
Edinet,48.17,27.30,Moldova
Ocnita,48.38,27.44,Moldova
Drochia,48.04,27.81,Moldova
Donduseni,48.24,27.61,Moldova
Briceni,48.36,27.08,Moldova
Ialoveni,46.94,28.78,Moldova
Balti,47.76,27.91,Moldova
Criuleni,47.21,29.16,Moldova
Bender,46.83,29.48,Moldova
Anenii Noi,46.88,29.23,Moldova
Cahul,45.91,28.19,Moldova
Chisinau,47.01,28.86,Moldova
Straseni,47.14,28.61,Moldova
Tiraspol,46.85,29.64,Moldova
Telenesti,47.50,28.37,Moldova
Taraclia,45.90,28.67,Moldova
Dubasari,47.26,29.16,Moldova
Cocieri,47.31,29.11,Moldova
Calarasi,47.26,28.31,Moldova
Glodeni,47.78,27.52,Moldova
Hincesti,46.83,28.59,Moldova
Nisporeni,47.08,28.17,Moldova
Soroca,48.16,28.28,Moldova
Ungheni,47.21,27.80,Moldova
Berane,42.84,19.87,Montenegro
Plav,42.60,19.95,Montenegro
Andrijevica,42.73,19.79,Montenegro
Petnjica,42.91,19.96,Montenegro
Gusinje,42.56,19.83,Montenegro
Kolasin,42.82,19.52,Montenegro
Podgorica,42.47,19.27,Montenegro
Bijelo Polje,43.03,19.75,Montenegro
Bar,42.09,19.10,Montenegro
Budva,42.29,18.84,Montenegro
Cetinje,42.39,18.92,Montenegro
Danilovgrad,42.55,19.11,Montenegro
Herceg-Novi,42.45,18.54,Montenegro
Kotor,42.43,18.77,Montenegro
Mojkovac,42.96,19.58,Montenegro
Niksic,42.78,18.96,Montenegro
Pluzine,43.15,18.84,Montenegro
Pljevlja,43.35,19.35,Montenegro
Rozaje,42.84,20.17,Montenegro
Savnik,42.96,19.10,Montenegro
Tivat,42.44,18.70,Montenegro
Ulcinj,41.93,19.21,Montenegro
Zabljak,43.15,19.12,Montenegro
Marigot,18.07,-63.08,Saint Martin
Antananarivo,-18.92,47.52,Madagascar
Toamasina,-18.18,49.41,Madagascar
Antalaha,-14.88,50.28,Madagascar
Maroantsetra,-15.43,49.73,Madagascar
Mandritsara,-15.83,48.82,Madagascar
Besalampy,-16.75,44.48,Madagascar
Marovoay,-16.10,46.63,Madagascar
Andoany,-13.40,48.27,Madagascar
Mahajanga,-15.67,46.35,Madagascar
Ambanja,-13.68,48.45,Madagascar
Antsiranana,-12.28,49.31,Madagascar
Miandrivazo,-19.52,45.47,Madagascar
Mananjary,-21.22,48.33,Madagascar
Morombe,-21.74,43.37,Madagascar
Toliara,-23.36,43.69,Madagascar
Manja,-21.43,44.33,Madagascar
Fianarantsoa,-21.43,47.08,Madagascar
Androka,-25.02,44.07,Madagascar
Bekiy,-24.22,45.32,Madagascar
Antsirabe,-19.85,47.03,Madagascar
Antsohihy,-14.87,47.98,Madagascar
Maintirano,-18.07,44.02,Madagascar
