country,city,latitude,longitude,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipType,temperatureMax,temperatureMin,apparentTemperatureMax,apparentTemperatureMin,windSpeed,timezone
United States,Broadway,38.61,-78.8,Foggy in the morning.,fog,07/02/2019 07:17 AM,07/02/2019 05:44 PM,0.09,7.0E-4,rain,54.75,45.88,54.75,45.88,1.07,
United States,Broadway,38.61,-78.8,"Light rain starting in the afternoon, continuing until evening.",rain,06/02/2019 07:18 AM,06/02/2019 05:43 PM,0.06,0.0046,rain,52.19,39.25,52.19,37.4,2.27,
United States,Broadway,38.61,-78.8,Foggy overnight.,fog,05/02/2019 07:19 AM,05/02/2019 05:42 PM,0.03,6.0E-4,rain,57.5,37.43,57.5,37.41,1.95,
United States,Broadway,38.61,-78.8,Foggy in the morning.,fog,04/02/2019 07:20 AM,04/02/2019 05:41 PM,0.99,0.0,,59.03,28.02,59.03,28.02,0.94,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the afternoon.,partly-cloudy-night,03/02/2019 07:21 AM,03/02/2019 05:39 PM,0.97,0.0,,52.54,33.33,52.54,33.33,1.14,
United States,Broadway,38.61,-78.8,Partly cloudy starting in the evening.,partly-cloudy-night,02/02/2019 07:22 AM,02/02/2019 05:38 PM,0.94,8.0E-4,rain,45.39,18.8,45.39,18.8,0.82,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,01/02/2019 07:23 AM,01/02/2019 05:37 PM,0.91,0.0,,20.56,8.65,20.56,8.65,0.31,
United States,Broadway,38.61,-78.8,Mostly cloudy overnight.,partly-cloudy-night,31/01/2019 07:24 AM,31/01/2019 05:36 PM,0.87,0.0,,14.59,-7.01,12.34,-18.75,2.68,
United States,Broadway,38.61,-78.8,Partly cloudy in the morning.,partly-cloudy-night,30/01/2019 07:25 AM,30/01/2019 05:35 PM,0.84,0.0,,17.01,-3.6,10.32,-16.34,5.39,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,29/01/2019 07:25 AM,29/01/2019 05:34 PM,0.81,0.0,,31.79,12.94,29.09,2.97,2.43,
United States,Broadway,38.61,-78.8,Mostly cloudy overnight.,partly-cloudy-night,28/01/2019 07:26 AM,28/01/2019 05:32 PM,0.77,0.0,,35.99,15.87,35.99,13.8,0.38,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,27/01/2019 07:27 AM,27/01/2019 05:31 PM,0.74,0.0,,34.22,16.57,33.87,16.57,3.4,
United States,Broadway,38.61,-78.8,Mostly cloudy until evening.,partly-cloudy-day,26/01/2019 07:28 AM,26/01/2019 05:30 PM,0.7,0.0,,29.37,14.71,23.1,6.95,3.63,
United States,Broadway,38.61,-78.8,Mostly cloudy until afternoon.,partly-cloudy-day,25/01/2019 07:28 AM,25/01/2019 05:29 PM,0.67,0.0,,25.55,14.82,21.15,11.61,4.83,
United States,Broadway,38.61,-78.8,Light rain in the morning.,rain,24/01/2019 07:29 AM,24/01/2019 05:28 PM,0.63,0.0097,rain,48.46,22.5,45.6,15.7,4.0,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,23/01/2019 07:30 AM,23/01/2019 05:27 PM,0.59,0.0014,rain,47.24,27.44,43.63,22.12,7.88,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-day,22/01/2019 07:30 AM,22/01/2019 05:25 PM,0.56,1.0E-4,snow,27.91,1.55,24.25,1.55,2.21,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,21/01/2019 07:31 AM,21/01/2019 05:24 PM,0.52,0.0,,9.04,-1.56,2.8,-17.5,6.63,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,20/01/2019 07:31 AM,20/01/2019 05:23 PM,0.48,0.0035,snow,32.87,4.52,32.87,-9.45,5.84,
United States,Broadway,38.61,-78.8,Snow (1–2 in.) starting in the evening.,snow,19/01/2019 07:32 AM,19/01/2019 05:22 PM,0.44,0.0065,snow,32.01,27.14,32.01,27.14,0.98,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,18/01/2019 07:32 AM,18/01/2019 05:21 PM,0.41,4.0E-4,snow,35.94,25.97,35.56,25.97,0.85,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,17/01/2019 07:33 AM,17/01/2019 05:20 PM,0.37,1.0E-4,snow,28.67,22.19,28.02,21.25,1.35,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,16/01/2019 07:33 AM,16/01/2019 05:19 PM,0.34,3.0E-4,snow,29.32,17.64,29.32,17.64,1.85,
United States,Broadway,38.61,-78.8,Foggy in the morning.,fog,15/01/2019 07:34 AM,15/01/2019 05:18 PM,0.3,6.0E-4,snow,27.12,18.48,27.12,15.22,1.35,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,14/01/2019 07:34 AM,14/01/2019 05:17 PM,0.27,6.0E-4,snow,26.31,19.77,26.31,19.77,0.16,
United States,Broadway,38.61,-78.8,Foggy in the morning.,fog,13/01/2019 07:34 AM,13/01/2019 05:16 PM,0.24,3.0E-4,snow,23.87,20.43,23.87,20.43,1.69,
United States,Broadway,38.61,-78.8,Foggy overnight.,fog,12/01/2019 07:34 AM,12/01/2019 05:15 PM,0.2,1.0E-4,snow,26.45,17.55,26.45,17.55,0.95,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,11/01/2019 07:35 AM,11/01/2019 05:13 PM,0.17,0.0,,26.58,14.35,26.58,6.78,2.41,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,10/01/2019 07:35 AM,10/01/2019 05:12 PM,0.14,0.0,,19.27,14.27,15.61,4.88,6.3,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,09/01/2019 07:35 AM,09/01/2019 05:12 PM,0.11,0.0,,38.41,18.01,34.74,8.59,5.87,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,08/01/2019 07:35 AM,08/01/2019 05:11 PM,0.08,0.0015,rain,52.6,34.74,52.6,29.12,4.54,
United States,Broadway,38.61,-78.8,Partly cloudy in the morning.,partly-cloudy-night,07/01/2019 07:35 AM,07/01/2019 05:10 PM,0.05,0.0,,35.39,24.03,34.02,24.03,2.45,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,06/01/2019 07:35 AM,06/01/2019 05:09 PM,0.02,0.0,,42.92,28.07,39.8,28.07,2.79,
United States,Broadway,38.61,-78.8,Overcast until afternoon.,cloudy,05/01/2019 07:35 AM,05/01/2019 05:08 PM,0.99,0.0051,rain,42.1,33.91,38.99,31.74,2.57,
United States,Broadway,38.61,-78.8,Overcast starting in the afternoon.,cloudy,04/01/2019 07:35 AM,04/01/2019 05:07 PM,0.96,3.0E-4,rain,40.82,24.33,40.82,24.33,0.9,
United States,Broadway,38.61,-78.8,Partly cloudy until afternoon.,partly-cloudy-day,03/01/2019 07:35 AM,03/01/2019 05:06 PM,0.93,0.0,,40.91,25.63,38.35,25.63,3.48,
United States,Broadway,38.61,-78.8,Mostly cloudy until evening.,partly-cloudy-day,02/01/2019 07:35 AM,02/01/2019 05:05 PM,0.9,0.0,,40.74,32.46,39.01,32.46,1.78,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,01/01/2019 07:35 AM,01/01/2019 05:04 PM,0.86,5.0E-4,rain,55.58,35.6,55.58,35.54,4.76,
United States,Broadway,38.61,-78.8,Rain until afternoon.,rain,31/12/2018 07:35 AM,31/12/2018 05:04 PM,0.83,0.0083,rain,48.6,25.74,46.0,25.74,0.73,
United States,Broadway,38.61,-78.8,Mostly cloudy until evening.,partly-cloudy-day,30/12/2018 07:35 AM,30/12/2018 05:03 PM,0.79,0.0,,44.16,25.73,44.16,25.73,0.86,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,29/12/2018 07:35 AM,29/12/2018 05:02 PM,0.76,0.0,,49.51,26.67,48.31,26.67,3.46,
United States,Broadway,38.61,-78.8,Light rain in the morning.,rain,28/12/2018 07:34 AM,28/12/2018 05:01 PM,0.72,0.0062,rain,50.16,36.64,50.16,34.07,1.75,
United States,Broadway,38.61,-78.8,Overcast starting in the afternoon.,cloudy,27/12/2018 07:34 AM,27/12/2018 05:01 PM,0.68,0.0,,41.77,22.46,38.95,17.43,2.95,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,26/12/2018 07:34 AM,26/12/2018 05:00 PM,0.65,2.0E-4,snow,41.38,17.28,41.38,17.28,0.3,
United States,Broadway,38.61,-78.8,Mostly cloudy until afternoon.,partly-cloudy-day,25/12/2018 07:34 AM,25/12/2018 05:00 PM,0.61,0.0,,31.11,20.18,31.11,20.18,0.38,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,24/12/2018 07:33 AM,24/12/2018 04:59 PM,0.57,2.0E-4,snow,33.25,27.12,30.26,22.05,3.52,
United States,Broadway,38.61,-78.8,Overcast starting in the afternoon.,cloudy,23/12/2018 07:33 AM,23/12/2018 04:58 PM,0.53,0.0015,snow,36.42,20.63,36.42,20.63,0.6,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,22/12/2018 07:32 AM,22/12/2018 04:58 PM,0.49,0.0,,34.47,27.81,33.02,25.01,4.56,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,21/12/2018 07:32 AM,21/12/2018 04:57 PM,0.46,0.0067,rain,48.14,33.75,48.14,28.47,0.73,
United States,Broadway,38.61,-78.8,Light snow (< 1 in.) in the evening.,snow,20/12/2018 07:31 AM,20/12/2018 04:57 PM,0.42,0.0044,snow,39.0,26.12,38.23,26.12,1.89,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,19/12/2018 07:31 AM,19/12/2018 04:56 PM,0.39,0.0,,46.42,19.82,46.42,19.82,1.14,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,18/12/2018 07:30 AM,18/12/2018 04:56 PM,0.36,0.0,,37.11,22.57,37.11,21.52,1.88,
United States,Broadway,38.61,-78.8,Partly cloudy in the morning.,partly-cloudy-day,17/12/2018 07:30 AM,17/12/2018 04:56 PM,0.32,0.0,,42.91,31.22,39.37,25.23,4.71,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,16/12/2018 07:29 AM,16/12/2018 04:55 PM,0.29,0.0024,rain,39.13,33.49,39.13,32.67,1.15,
United States,Broadway,38.61,-78.8,Mixed precipitation until afternoon.,rain,15/12/2018 07:28 AM,15/12/2018 04:55 PM,0.26,0.0206,rain,41.33,35.34,41.33,34.38,2.03,
United States,Broadway,38.61,-78.8,Mixed precipitation starting in the evening.,snow,14/12/2018 07:28 AM,14/12/2018 04:55 PM,0.23,0.0074,rain,39.05,26.99,39.05,25.06,1.68,
United States,Broadway,38.61,-78.8,Mostly cloudy until evening.,partly-cloudy-day,13/12/2018 07:27 AM,13/12/2018 04:55 PM,0.2,0.0,,43.16,29.27,43.16,29.27,0.99,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the afternoon.,partly-cloudy-night,12/12/2018 07:26 AM,12/12/2018 04:54 PM,0.17,0.0,,36.38,22.63,36.38,21.26,1.65,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,11/12/2018 07:25 AM,11/12/2018 04:54 PM,0.14,0.0,,36.64,10.89,35.48,10.89,2.61,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,10/12/2018 07:25 AM,10/12/2018 04:54 PM,0.11,0.0,,33.83,15.65,33.83,15.65,0.74,
United States,Broadway,38.61,-78.8,"Mostly cloudy starting in the afternoon, continuing until evening.",partly-cloudy-day,09/12/2018 07:24 AM,09/12/2018 04:54 PM,0.08,0.0,,25.34,18.42,25.34,14.14,1.46,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,08/12/2018 07:23 AM,08/12/2018 04:54 PM,0.05,0.0,,26.4,13.11,26.4,13.11,0.6,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,07/12/2018 07:22 AM,07/12/2018 04:54 PM,0.02,0.0,,30.82,17.66,30.81,17.66,2.41,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,06/12/2018 07:21 AM,06/12/2018 04:54 PM,0.98,0.0,,32.92,21.96,30.02,17.19,2.79,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,05/12/2018 07:20 AM,05/12/2018 04:54 PM,0.95,2.0E-4,snow,26.77,23.03,26.3,17.42,1.42,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,04/12/2018 07:20 AM,04/12/2018 04:54 PM,0.92,0.0,,33.08,25.15,33.08,23.05,3.38,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the afternoon.,partly-cloudy-night,03/12/2018 07:19 AM,03/12/2018 04:54 PM,0.88,0.0,,44.75,33.8,44.65,30.22,5.14,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,02/12/2018 07:18 AM,02/12/2018 04:55 PM,0.85,2.0E-4,rain,59.85,34.93,59.85,32.93,2.33,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,01/12/2018 07:17 AM,01/12/2018 04:55 PM,0.81,0.0043,rain,34.31,30.59,34.31,27.93,2.23,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,30/11/2018 07:16 AM,30/11/2018 04:55 PM,0.77,0.0,,40.47,30.74,40.47,30.74,0.58,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the afternoon.,partly-cloudy-night,29/11/2018 07:15 AM,29/11/2018 04:55 PM,0.74,0.0,,33.33,14.99,33.33,8.21,0.91,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,28/11/2018 07:14 AM,28/11/2018 04:56 PM,0.7,0.0,,21.36,16.49,12.64,8.19,6.7,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,27/11/2018 07:13 AM,27/11/2018 04:56 PM,0.66,0.0,,29.61,21.37,24.26,11.76,6.09,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,26/11/2018 07:12 AM,26/11/2018 04:56 PM,0.62,0.0012,rain,45.75,30.22,43.19,23.1,3.65,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,25/11/2018 07:11 AM,25/11/2018 04:57 PM,0.59,0.0,,53.74,33.41,53.74,30.9,1.49,
United States,Broadway,38.61,-78.8,Snow (1–2 in.) until afternoon.,snow,24/11/2018 07:10 AM,24/11/2018 04:57 PM,0.55,0.0087,snow,36.22,26.42,36.22,24.15,1.53,
United States,Broadway,38.61,-78.8,Mostly cloudy until afternoon.,partly-cloudy-day,23/11/2018 07:09 AM,23/11/2018 04:58 PM,0.52,0.0,,35.4,20.97,32.9,16.42,2.07,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,22/11/2018 07:07 AM,22/11/2018 04:58 PM,0.47,0.0,,28.13,20.72,27.83,15.77,2.37,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-night,21/11/2018 07:06 AM,21/11/2018 04:59 PM,0.44,0.0,,38.15,24.92,34.15,19.52,3.83,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,20/11/2018 07:05 AM,20/11/2018 04:59 PM,0.41,9.0E-4,rain,39.32,28.9,39.32,24.04,3.78,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the afternoon.,partly-cloudy-night,19/11/2018 07:04 AM,19/11/2018 05:00 PM,0.38,1.0E-4,rain,51.93,30.08,51.93,30.08,1.89,
United States,Broadway,38.61,-78.8,Foggy in the morning.,fog,18/11/2018 07:03 AM,18/11/2018 05:01 PM,0.35,4.0E-4,rain,46.02,24.96,46.02,24.96,1.44,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,17/11/2018 07:02 AM,17/11/2018 05:01 PM,0.31,0.0016,snow,40.53,27.16,40.53,23.3,1.48,
United States,Broadway,38.61,-78.8,Mixed precipitation in the afternoon.,snow,16/11/2018 07:01 AM,16/11/2018 05:02 PM,0.28,0.0084,snow,35.4,25.59,33.56,21.57,2.92,
United States,Broadway,38.61,-78.8,Foggy until evening.,fog,15/11/2018 07:00 AM,15/11/2018 05:03 PM,0.25,0.0012,snow,26.38,22.84,26.38,16.03,2.59,
United States,Broadway,38.61,-78.8,Mostly cloudy overnight.,partly-cloudy-night,14/11/2018 06:59 AM,14/11/2018 05:03 PM,0.22,0.0,,33.01,24.23,33.01,18.71,2.07,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,13/11/2018 06:57 AM,13/11/2018 05:04 PM,0.19,0.0043,rain,35.64,31.06,35.64,26.59,1.7,
United States,Broadway,38.61,-78.8,Light rain in the evening and overnight.,rain,12/11/2018 06:56 AM,12/11/2018 05:05 PM,0.16,0.0061,rain,41.37,28.19,41.37,28.19,1.28,
United States,Broadway,38.61,-78.8,Partly cloudy overnight.,partly-cloudy-night,11/11/2018 06:55 AM,11/11/2018 05:06 PM,0.13,0.0,,40.93,16.02,39.68,16.02,0.74,
United States,Broadway,38.61,-78.8,Mostly cloudy until afternoon.,partly-cloudy-day,10/11/2018 06:54 AM,10/11/2018 05:07 PM,0.1,0.0,,35.6,18.81,31.31,14.9,5.47,
United States,Broadway,38.61,-78.8,Rain until afternoon.,rain,09/11/2018 06:53 AM,09/11/2018 05:08 PM,0.07,0.0187,rain,39.86,34.51,39.86,31.49,1.05,
United States,Broadway,38.61,-78.8,Partly cloudy overnight.,partly-cloudy-night,08/11/2018 06:52 AM,08/11/2018 05:09 PM,0.04,0.0,,48.36,33.62,48.36,32.12,1.4,
United States,Broadway,38.61,-78.8,Partly cloudy starting in the afternoon.,partly-cloudy-night,07/11/2018 06:51 AM,07/11/2018 05:10 PM,0.02,0.0,,52.2,39.97,52.2,37.91,3.85,
United States,Broadway,38.61,-78.8,Overcast until afternoon.,cloudy,06/11/2018 06:50 AM,06/11/2018 05:11 PM,0.97,0.0027,rain,57.97,44.91,57.97,44.91,3.58,
United States,Broadway,38.61,-78.8,Rain in the morning.,rain,05/11/2018 06:48 AM,05/11/2018 05:12 PM,0.93,0.0061,rain,48.89,41.87,48.89,41.16,1.66,
United States,Broadway,38.61,-78.8,Mostly cloudy starting in the evening.,partly-cloudy-night,04/11/2018 06:47 AM,04/11/2018 05:13 PM,0.9,0.0,,49.73,28.77,47.46,28.77,2.73,
United States,Broadway,38.61,-78.8,Mostly cloudy until evening.,partly-cloudy-day,03/11/2018 07:46 AM,03/11/2018 06:14 PM,0.86,0.0,,42.06,32.23,42.06,31.95,3.96,
United States,Broadway,38.61,-78.8,Rain in the evening.,rain,02/11/2018 07:45 AM,02/11/2018 06:15 PM,0.82,0.0069,rain,60.85,43.35,60.85,43.15,2.51,
United States,Broadway,38.61,-78.8,Mostly cloudy overnight.,partly-cloudy-night,01/11/2018 07:44 AM,01/11/2018 06:16 PM,0.79,0.0,,68.37,52.75,68.37,52.75,4.76,
United States,Broadway,38.61,-78.8,Partly cloudy throughout the day.,partly-cloudy-day,31/10/2018 07:43 AM,31/10/2018 06:17 PM,0.75,0.0,,67.2,37.23,67.2,37.23,2.91,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,30/10/2018 07:42 AM,30/10/2018 06:18 PM,0.71,0.0,,55.83,33.83,55.83,33.83,1.11,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,29/10/2018 07:41 AM,29/10/2018 06:19 PM,0.67,0.0055,rain,40.74,38.53,40.03,34.63,3.53,
United States,Broadway,38.61,-78.8,Mostly cloudy throughout the day.,partly-cloudy-day,28/10/2018 07:40 AM,28/10/2018 06:21 PM,0.64,0.0019,rain,48.55,38.03,46.08,35.37,3.05,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,27/10/2018 07:38 AM,27/10/2018 06:22 PM,0.6,0.0032,rain,43.53,35.47,43.53,35.47,0.16,
United States,Broadway,38.61,-78.8,Overcast throughout the day.,cloudy,26/10/2018 07:37 AM,26/10/2018 06:23 PM,0.57,0.0045,rain,37.69,33.0,37.3,30.2,2.25,
United States,Broadway,38.61,-78.8,Clear throughout the day.,clear-day,25/10/2018 07:36 AM,25/10/2018 06:24 PM,0.53,0.0,,46.88,25.04,46.88,25.04,1.07,
United States,Broadway,38.61,-78.8,Mostly cloudy in the morning.,partly-cloudy-night,24/10/2018 07:35 AM,24/10/2018 06:26 PM,0.51,0.0,,46.83,31.09,44.09,30.25,3.49,
United States,Broadway,38.61,-78.8,Partly cloudy in the morning.,partly-cloudy-night,23/10/2018 07:34 AM,23/10/2018 06:27 PM,0.46,0.0,,58.99,37.89,58.99,37.89,3.34,
United States,Broadway,38.61,-78.8,Partly cloudy in the morning.,partly-cloudy-day,22/10/2018 07:33 AM,22/10/2018 06:28 PM,0.43,2.0E-4,rain,55.36,24.66,55.36,24.66,1.82,
